"Minority","Female","callback","Company_anonymous","Industry_broad","Employees","Private","Language_important"
0,0,0,"a1","Retail",20,1,1
0,0,0,"a10","Health care",25,0,0
0,1,0,"a100","Health care",60,0,0
0,1,0,"a101","Retail",7,1,0
1,1,0,"a102","Retail",10,1,1
0,1,0,"a103","Sales & related",55,1,1
0,1,0,"a104","Construction & Extraction",55,1,0
0,1,0,"a105","Construction & Extraction",10,1,1
1,1,0,"a106","Construction & Extraction",64,1,1
1,1,0,"a107","Construction & Extraction",62,1,0
0,1,0,"a108","Construction & Extraction",51,1,1
0,1,0,"a109","Health care",10,1,1
1,0,0,"a11","Health care",25,0,0
0,1,1,"a110","Sales & related",50,1,1
0,1,0,"a111","Retail",10,0,0
1,1,1,"a112","Retail",25,1,0
0,1,0,"a113","Retail",50,1,0
1,0,0,"a114","Retail",20,1,0
1,1,1,"a115","Retail",7,1,1
0,1,1,"a116","Retail",7,1,1
0,0,0,"a117","Retail",30,1,1
1,0,0,"a118","Construction & Extraction",56,1,0
0,1,0,"a119","Sales & related",50,1,0
1,0,1,"a12","Retail",10,1,1
1,0,1,"a120","Construction & Extraction",62,1,0
0,0,0,"a121","Health care",20,0,0
0,1,1,"a122","Health care",50,0,0
0,1,1,"a123","Health care",61,0,0
0,0,1,"a124","Health care",62,0,0
0,0,0,"a125","Health care",64,0,1
0,1,0,"a126","Sales & related",60,1,1
0,1,0,"a127","Sales & related",30,1,1
1,1,1,"a128","Sales & related",89,1,1
0,1,0,"a129","Sales & related",104,1,1
1,0,0,"a13","Retail",93,1,1
1,1,0,"a130","Sales & related",54,1,1
0,0,1,"a131","Sales & related",50,1,1
1,0,0,"a132","Education",20,1,1
1,0,0,"a133","Retail",84,0,0
0,0,0,"a134","Health care",10,1,0
0,1,0,"a135","Education",58,1,1
0,0,0,"a136","Education",20,0,1
0,1,0,"a137","Education",20,0,1
1,0,0,"a138","Education",10,1,1
0,0,0,"a139","Education",10,0,1
0,0,1,"a14","Retail",50,1,0
1,0,1,"a140","Retail",54,1,1
1,0,0,"a141","Retail",50,1,0
0,1,0,"a142","Retail",50,1,1
0,1,0,"a143","Retail",71,1,1
0,0,0,"a144","Retail",15,1,0
0,1,0,"a145","Retail",25,1,1
1,0,0,"a146","Retail",25,1,1
1,1,0,"a147","Retail",25,1,1
0,0,1,"a148","Retail",10,1,1
0,1,0,"a149","Retail",10,1,1
0,0,0,"a15","Retail",52,1,1
0,0,0,"a150","Construction & Extraction",67,1,0
0,1,1,"a151","Retail",68,1,1
1,0,0,"a152","Retail",15,1,1
1,0,1,"a153","Retail",58,1,0
0,1,0,"a154","Construction & Extraction",55,1,0
1,0,0,"a155","Sales & related",10,1,0
0,1,0,"a156","Health care",54,0,0
1,1,0,"a157","Health care",15,0,0
1,0,0,"a158","Construction & Extraction",57,1,0
0,0,1,"a159","Construction & Extraction",97,1,1
1,0,1,"a16","Administrative support",20,1,1
1,1,1,"a160","Administrative support",52,1,1
1,1,0,"a161","Administrative support",78,0,0
1,0,0,"a162","Education",15,0,1
0,0,1,"a163","Health care",51,0,0
1,1,0,"a164","Health care",10,0,0
1,0,0,"a165","Retail",71,0,1
1,0,0,"a166","Retail",15,1,1
1,0,0,"a167","Administrative support",96,1,0
0,0,0,"a168","Administrative support",61,1,0
0,1,0,"a169","Administrative support",54,1,1
1,0,0,"a17","Administrative support",10,0,1
1,0,0,"a170","Education",30,0,1
1,1,0,"a171","Health care",25,0,0
1,1,0,"a172","Health care",205,0,0
1,0,0,"a173","Sales & related",55,1,1
1,1,0,"a174","Sales & related",15,1,1
1,0,1,"a175","Education",25,0,1
1,1,0,"a176","Education",25,0,1
1,0,1,"a177","Education",52,0,1
0,0,1,"a178","Construction & Extraction",83,1,0
0,1,1,"a179","Administrative support",59,1,0
0,0,0,"a18","Administrative support",103,1,1
0,1,0,"a180","Sales & related",3,1,1
1,0,0,"a181","Sales & related",75,1,1
0,1,0,"a182","Administrative support",60,1,1
0,1,0,"a183","Administrative support",7,1,1
0,0,0,"a184","Retail",60,1,0
1,1,1,"a185","Administrative support",68,1,1
1,0,0,"a186","Administrative support",30,1,1
1,0,0,"a187","Health care",51,0,0
0,0,0,"a188","Administrative support",50,1,1
1,1,0,"a189","Administrative support",15,1,1
1,0,0,"a19","Construction & Extraction",78,1,0
1,0,0,"a190","Construction & Extraction",51,1,0
0,0,0,"a191","Construction & Extraction",82,1,0
1,0,0,"a192","Construction & Extraction",61,1,0
0,1,0,"a193","Retail",10,1,1
0,1,1,"a194","Administrative support",50,1,0
0,0,0,"a195","Construction & Extraction",61,1,1
1,1,1,"a196","Construction & Extraction",103,1,0
1,0,0,"a197","Retail",61,1,0
1,1,0,"a198","Construction & Extraction",71,1,1
1,0,0,"a199","Retail",53,1,0
1,0,0,"a2","Retail",10,1,1
0,0,0,"a20","Construction & Extraction",20,1,0
0,1,0,"a200","Construction & Extraction",71,1,0
1,0,0,"a201","Construction & Extraction",63,1,0
0,0,0,"a202","Construction & Extraction",69,1,1
1,0,0,"a203","Construction & Extraction",60,1,0
0,1,0,"a204","Sales & related",62,1,1
0,1,1,"a205","Sales & related",25,1,0
1,0,0,"a206","Sales & related",20,1,1
0,1,0,"a207","Retail",57,1,1
0,1,0,"a208","Retail",55,1,0
0,1,0,"a209","Health care",53,0,1
1,0,0,"a21","Retail",30,1,0
0,1,1,"a210","Health care",68,0,0
0,0,0,"a211","Construction & Extraction",51,0,0
1,0,0,"a212","Retail",92,1,0
1,0,1,"a213","Retail",59,1,0
